Life_Expectancy,Population,Smoking_2021,Country,1990,Relative Change,2021,Absolute Change,Age,Cigarettes_Per_Day,Current Male,Former Male,Current Female,Former Female,Total Change (Female),Due to Ageing (Female),Due to Prevalence Changes (Female),Due to Population Growth (Female),Female Morbidity,Male Morbidity
54.30039662342657,5620150.0,19.9,Singapore,9.9,-0.64,3.6,-6.3,56,7,28,10,10,25,-7.285079974572887,-4.162167303477467,-3.823083690508212,-0.981803637438448,73684.72869483604,88164.54113519593
70.73962964073569,4982604.0,44.0,Ireland,14.5,-0.68,4.7,-9.8,69,9,30,21,26,27,-0.9575670859243495,-3.4484575894772624,-2.5281459447712096,-0.8491756480144235,293967.7156958842,227543.31664754017
64.82466349091776,518213.0,33.7,Malta,12.9,-0.39,7.9,-5.0,46,8,34,27,30,16,-6.252780294926236,-2.48327434696923,-0.42582525001560967,-0.49928254085828905,121564.7588457958,219335.4615203791
64.01075603440664,447412.0,58.5,Brunei,16.9,-0.31,11.6,-5.3,32,17,5,28,15,21,-4.501314372237948,-1.0177971923826137,-3.941428139260146,0.33863083272700334,155952.04629339353,56106.720735158306
75.55376816806908,12617042.0,31.7,Burundi,21.0,-0.7,6.4,-14.6,60,1,25,22,27,21,-9.494268961757712,-1.3026538338063638,-4.278799894409483,0.776544393023012,212465.98042564376,152936.9168975608
63.77129503576716,2803373.0,33.2,Qatar,10.1,-0.53,4.8,-5.3,25,4,7,12,11,14,-5.738787620477693,-1.772328217947389,-1.2051158407298468,-0.08011609741207448,56174.324421527825,133237.56174059334
65.0403095367353,10370519.0,30.5,Portugal,15.5,-0.45,8.5,-7.0,78,4,24,13,31,34,-1.6763646033900503,-4.221133697099149,-2.496902338330345,0.21394623254853085,252564.78262932174,217353.01606341085
68.31885104374706,25743787.0,26.0,Australia,10.2,-0.55,4.6,-5.7,38,5,6,10,33,33,-1.9435119463665806,-2.2647732719221114,-0.44107443809114333,-0.6230002944088777,184144.54750715508,104033.95307773017
66.26600731623431,126799052.0,26.6,Mexico,7.2,-0.32,4.9,-2.3,56,18,13,9,19,23,-7.756814411464737,-4.562767491000573,-4.266927214200789,0.6099336677633707,119554.29676720554,197717.98074356464
58.26429792987875,22561807.0,35.6,Sri Lanka,11.8,-0.48,6.1,-5.7,75,7,23,16,10,18,-7.739209289894373,-3.113184116016746,-1.7703605348848033,0.9346562227069395,65401.99632311731,278301.4904535431
77.95906504847474,118917671.0,13.8,Ethiopia,10.8,-0.8,2.2,-8.6,36,15,19,29,24,15,-1.8269468778676323,-2.9324173485502043,-3.8356042692409247,-0.46280213417080507,90624.60386861036,249450.59305215193
80.48530938507601,28953560.0,31.9,Madagascar,17.9,-0.57,7.7,-10.2,40,12,22,33,31,6,-0.6960157983067443,-4.800942802771231,-4.216197856741804,-0.010348096798907358,273758.46471335925,280364.43405413255
73.43618589535217,8800379.0,29.3,Israel,9.5,-0.69,2.9,-6.5,28,0,30,32,13,22,-9.046390787269964,-3.6300595026501408,-1.5828529242136473,-0.8277677789872524,221506.05598397276,294626.4917331725
66.23447348977734,208660845.0,46.9,Brazil,21.7,-0.65,7.6,-14.1,28,19,15,15,26,11,-5.499413605737748,-0.2217526636675533,-2.0315769004563338,0.11827331292593679,112475.43040922246,52667.53175154069
62.947892636702186,11540103.0,49.6,Belgium,18.1,-0.65,6.3,-11.8,41,16,29,29,24,16,-6.625457210357711,-0.23183696085155248,-1.2258627081883438,0.005566883693361113,66400.19123625738,205685.3190943694
62.963799370735536,17546058.0,19.2,Ecuador,7.6,-0.55,3.4,-4.1,70,6,27,5,16,30,-1.293115445425606,-3.2383647287373036,-3.4526871177690883,-0.7111270316898448,222653.82809665907,153209.84943972662
93.57376365032708,67351860.0,53.2,United Kingdom,17.3,-0.66,5.8,-11.5,53,12,20,15,23,6,-9.164750853199813,-4.78449945525838,-2.7601417180890504,-0.11586757376384993,193101.93149194127,264963.62258378044
79.37838301566644,366626.0,40.4,Iceland,11.8,-0.48,6.2,-5.6,57,3,26,23,24,31,-7.888740574419626,-4.104525303359092,-2.9726416183479074,-0.3317906958268735,151129.88111455875,112953.67550228292
61.598899214166615,5379274.0,33.2,Norway,13.9,-0.74,3.6,-10.3,41,3,21,13,7,24,-2.475316624135057,-3.0389110328322992,-0.07955268016742867,0.04366175061037869,140902.86229751597,295257.37227876903
