Country,1990,2021,Absolute Change,Relative Change,1990.1,2021.0.1,Absolute Change.1,Relative Change.1,1990.2,2021.0.2,Absolute Change.2,Relative Change.2,Smoking_1990,Smoking_2021,Change,Percent_Change,Disease1,Disease2,Disease3,Disease4,Disease5,Disease6,Disease7,Disease8,Disease9,Disease10,Disease11,Disease12,Disease13,Disease14,Disease15,Disease16,Disease17,Disease18,Disease19,Disease20,Disease21,Disease22,Disease23,Disease24,Disease25,Disease26,Disease27,Disease28,Metric1,Metric2,Population
Singapore,9.9,3.6,-6.3,-0.64,692.3,187.4,-505,-0.73,224.4,48.6,-175.8,-0.78,84.4,19.9,-64.5,-0.76,2768,847,531,144,366,7,278,7,133,218,0,317,1717,2020,1589,1237,2,74,105,0,1,1,0,1547,184,27,1496,24,0.28,0.05,5620150
Ireland,14.5,4.7,-9.8,-0.68,1702.7,479.4,-1223.3,-0.72,416.1,91.1,-325,-0.78,177.1,44,-133,-0.75,4238,236,583,870,378,1,303,10,93,265,0,308,3617,2199,608,2001,1,303,189,0,0,1,0,596,427,18,1592,55,0.225,0.19,4982604
Malta,12.9,7.9,-5,-0.39,755.5,248.8,-506.6,-0.67,285.8,110.1,-175.7,-0.61,94.8,33.7,-61.1,-0.64,706,65,194,72,66,0,38,1,9,30,0,34,317,484,196,340,0,20,35,0,0,0,0,180,79,3,301,9,0.264,0.216,518213
Brunei,16.9,11.6,-5.3,-0.31,1373.8,484.8,-889,-0.65,347.7,123.4,-224.3,-0.65,154.2,58.5,-95.8,-0.62,261,62,48,15,68,0,27,1,19,6,0,35,186,283,41,162,0,13,9,0,1,0,0,40,27,1,114,20,0.3,0.023,447412
Burundi,21,6.4,-14.6,-0.7,542.3,191.4,-350.9,-0.65,273.3,93.7,-179.6,-0.66,92.7,31.7,-61,-0.66,6658,949,964,3100,714,3829,371,2566,2290,609,10405,1696,1624,3352,11210,1382,3241,160,379,55,2841,205,255,765,155,2790,1205,6999,0.174,0.061,12617042
Qatar,10.1,4.8,-5.3,-0.53,829.4,298.7,-530.8,-0.64,203.4,58.7,-144.7,-0.71,96.6,33.2,-63.4,-0.66,599,23,230,39,20,2,103,3,13,8,0,4,317,757,567,722,0,31,46,0,1,1,1,562,92,2,298,44,0.217,0.019,2803373
Portugal,15.5,8.5,-7,-0.45,545.8,198.3,-347.5,-0.64,214.7,107,-107.7,-0.5,73.3,30.5,-42.8,-0.58,16423,1286,2889,4813,1645,18,1265,150,617,696,7,1013,6997,14001,2580,9253,9,580,968,0,1,1,1,2276,1871,129,6074,79,0.305,0.202,10370519
Australia,10.2,4.6,-5.7,-0.55,661,240.2,-420.8,-0.64,240.6,66.6,-174,-0.72,80,26,-54,-0.68,21006,958,3751,6608,2760,29,1131,126,479,740,3,1965,11916,15132,4399,15006,10,2559,2597,0,1,2,1,4247,2557,34,9278,313,0.156,0.115,25743787
Mexico,7.2,4.9,-2.3,-0.32,635.8,243,-392.8,-0.62,134,56.9,-77.1,-0.58,71.4,26.6,-44.7,-0.63,116339,13268,13274,38853,12636,1872,8020,6922,10824,8988,6328,15099,32299,154023,50073,116838,812,8098,4289,19,538,315,117,41690,9670,1250,47690,8467,0.199,0.062,126799052
Sri Lanka,11.8,6.1,-5.7,-0.48,837.3,320.7,-516.5,-0.62,174.5,74.5,-100,-0.57,93,35.6,-57.4,-0.62,34479,7168,2941,3542,6234,536,2767,225,681,149,8477,3702,8998,22732,20437,10410,222,909,945,1,24,10,13,11378,1039,139,12423,768,0.414,0.026,22561807
Ethiopia,10.8,2.2,-8.6,-0.8,264.7,104.5,-160.1,-0.61,142.2,35.4,-106.8,-0.75,44.5,13.8,-30.8,-0.69,37242,7362,6378,14279,17532,28203,2489,20161,18218,2679,68497,13582,5933,25390,76250,11459,24880,893,3475,600,9224,2085,1248,7496,1458,20544,6014,62202,0.088,0.013,118917671
Madagascar,17.9,7.7,-10.2,-0.57,536.1,212.1,-324.1,-0.6,182.3,70.9,-111.4,-0.61,78.1,31.9,-46.2,-0.59,21714,3187,1171,2870,5601,11158,1834,9891,4296,1158,26359,6850,3514,6236,27648,5588,9673,455,569,302,4398,1506,447,1241,334,7590,3561,12738,0.427,0.128,28953560
Israel,9.5,2.9,-6.5,-0.69,691.3,276.6,-414.7,-0.6,222.7,77.8,-144.8,-0.65,82.3,29.3,-53,-0.64,6198,482,1600,572,258,13,377,49,153,19,1,87,3698,6443,2828,4294,8,275,311,0,1,4,1,2648,696,30,1740,98,0.289,0.135,8800379
Brazil,21.7,7.6,-14.1,-0.65,914.3,374.7,-539.6,-0.59,316.8,132.5,-184.2,-0.58,122.9,46.9,-76,-0.62,205500,29612,25592,53063,19638,2790,20638,6056,22192,996,10591,29604,117324,151672,67681,131576,1758,12357,12635,18,498,373,351,52993,21890,4183,79604,14300,0.162,0.094,208660845
Belgium,18.1,6.3,-11.8,-0.65,1105,459.9,-645.1,-0.58,336.1,140.9,-195.1,-0.58,123.4,49.6,-73.8,-0.6,13068,1476,2248,4130,1185,32,881,225,331,405,1,739,11873,7163,3611,6115,15,624,1483,0,1,5,0,3305,1190,89,4461,136,0.258,0.21,11540103
Ecuador,7.6,3.4,-4.1,-0.55,400.7,168.2,-232.5,-0.58,106.6,42.5,-64.1,-0.6,47.5,19.2,-28.4,-0.6,11769,2210,2123,2532,1086,98,628,580,1973,1272,469,3418,3028,12085,5333,10200,55,318,796,1,109,41,39,4803,621,270,4137,1337,0.184,0.042,17546058
United Kingdom,17.3,5.8,-11.5,-0.66,1365.8,576.4,-789.4,-0.58,420.9,114.8,-306.1,-0.73,150.7,53.2,-97.4,-0.65,68440,5557,15546,19874,9922,29,3339,92,1581,8769,2,6920,73533,38509,17100,39876,8,6633,5480,0,3,13,5,16551,11417,474,30570,1182,0.173,0.135,67351860
Iceland,11.8,6.2,-5.6,-0.48,967.9,413.5,-554.4,-0.57,265.5,96.2,-169.2,-0.64,102.6,40.4,-62.2,-0.61,344,33,71,59,38,0,19,3,6,25,0,32,244,170,23,164,0,30,29,0,0,0,0,19,25,1,157,2,0.119,0.12,366626
Norway,13.9,3.6,-10.3,-0.74,828.3,354.1,-474.2,-0.57,275.3,74.2,-201.1,-0.73,94.8,33.2,-61.7,-0.65,5157,336,1193,1006,389,9,273,195,160,313,0,433,3508,3086,530,2160,4,429,779,0,0,0,0,458,494,30,2064,32,0.17,0.154,5379274
Chile,13.4,6.8,-6.6,-0.49,320.9,137.8,-183.1,-0.57,181.3,66.9,-114.4,-0.63,56,21.8,-34.2,-0.61,18440,2538,2745,5560,2185,58,1826,401,1322,957,258,1507,5524,10564,7029,11211,37,1317,889,0,3,5,8,6655,721,46,4806,402,0.316,0.268,19370619
Canada,13.7,5,-8.7,-0.64,988.9,436.3,-552.6,-0.56,316.2,106.1,-210.1,-0.66,113.6,42.7,-70.8,-0.62,35162,3646,6482,10374,3857,64,2581,440,917,406,1,3095,32295,24195,3976,22123,66,4762,4307,0,2,10,7,3261,1847,41,14634,564,0.153,0.107,38171901
Spain,17.1,7.1,-10,-0.58,817.1,367.9,-449.2,-0.55,259,120.5,-138.5,-0.53,96.9,41.3,-55.6,-0.57,55738,2316,9619,13082,4211,56,5292,319,1459,1703,21,4981,41161,40586,12982,36460,35,4030,2731,0,1,5,2,9911,5304,244,17806,330,0.286,0.267,47679482
Benin,5.9,2.3,-3.6,-0.61,247.2,111.3,-135.8,-0.55,118.3,51.4,-66.9,-0.57,37.9,17,-20.9,-0.55,7352,647,503,1339,1487,3196,409,2314,2383,50,10622,870,877,3379,12842,2530,2739,134,342,86,3004,408,224,2179,142,2850,1453,11050,0.118,0.019,13070170
Bahrain,11.8,7.8,-4,-0.34,1414.4,639.5,-774.9,-0.55,321.4,101.6,-219.8,-0.68,158.6,69.4,-89.3,-0.56,823,29,312,32,52,3,139,4,17,31,0,36,469,1139,763,951,1,28,22,0,1,1,1,747,134,3,413,28,0.253,0.045,1483081
Colombia,7.9,3.1,-4.8,-0.61,381.2,172.6,-208.6,-0.55,151.5,48.7,-102.8,-0.68,53.2,19.4,-33.9,-0.64,45162,10126,5876,4966,3374,525,2711,1541,5039,3570,1523,4522,10772,22860,14605,21017,191,789,1528,1,99,69,65,12763,2633,340,15997,2226,0.124,0.046,50629997
France,14.3,6.8,-7.5,-0.53,647.5,296.8,-350.7,-0.54,231.9,126.4,-105.4,-0.45,79,38.1,-40.9,-0.52,73256,5633,16143,26946,9951,61,3470,5041,2226,3194,5,7548,52332,38438,14554,39013,23,5925,9903,0,4,14,4,13394,7863,310,25709,897,0.349,0.319,65905273
Denmark,21,5.3,-15.7,-0.75,1680.4,779.2,-901.2,-0.54,478.4,152.8,-325.6,-0.68,180.3,71,-109.3,-0.61,6934,537,1384,2396,477,12,465,58,195,301,0,477,9076,3891,1743,3220,5,408,535,0,0,1,0,1532,677,37,2507,85,0.178,0.171,5831530
New Zealand,12.7,4.8,-7.9,-0.62,846.8,392.9,-454,-0.54,294.6,90.8,-203.8,-0.69,101.2,39,-62.2,-0.61,5029,364,981,1094,405,13,240,14,72,175,1,378,3400,3146,651,2869,5,246,421,0,1,1,0,613,578,8,2228,98,0.15,0.123,5069893
Germany,19.9,6.4,-13.5,-0.68,886.7,414.9,-471.9,-0.53,280.1,147,-133,-0.48,104.4,48.6,-55.8,-0.53,185236,14091,22084,47456,19986,88,6671,604,2773,4816,4,18069,94196,100635,31602,84764,35,5980,12109,0,3,10,6,29057,10382,320,60888,913,0.241,0.199,83628711
Thailand,13.5,15.9,2.4,0.18,1024.1,479.2,-544.9,-0.53,258.8,116.7,-142,-0.55,116,52.7,-63.3,-0.55,73041,17430,6855,25335,6555,4701,10483,1657,15517,26,3590,9674,56851,62296,58564,32153,612,7836,4468,1,148,128,57,53356,5850,2526,26514,996,0.413,0.029,71641484
Luxembourg,17.8,4.4,-13.4,-0.75,852.8,403.2,-449.5,-0.53,299.4,108.2,-191.1,-0.64,105.3,42.1,-63.2,-0.6,649,50,98,196,62,1,39,10,11,51,0,57,454,399,102,316,0,44,56,0,0,0,0,87,49,2,227,5,0.224,0.198,630597
Panama,4.7,2.7,-2,-0.43,395.5,187.1,-208.4,-0.53,97.4,41.8,-55.5,-0.57,43,18.9,-24.1,-0.56,3506,561,303,621,472,72,161,144,693,130,37,495,844,2843,820,2620,45,108,94,0,29,19,10,758,194,28,1044,266,0.077,0.022,4293258
Costa Rica,5.5,4.2,-1.3,-0.23,495.8,235.2,-260.6,-0.53,124.2,57.8,-66.4,-0.53,53.6,24.8,-28.8,-0.54,3930,655,682,922,314,30,237,30,378,233,66,569,1371,2976,1028,2566,7,191,259,0,3,4,3,930,207,23,1272,159,0.129,0.046,5034323
Myanmar,36.1,13,-23.1,-0.64,2163.8,1029.1,-1134.7,-0.52,689.4,220.6,-468.9,-0.68,277.4,108.8,-168.5,-0.61,92227,20253,6283,18871,19272,3802,11615,3060,4421,38,69213,8612,47058,51736,101582,19822,2904,4486,2642,41,1686,1005,316,31202,1636,1841,24695,11577,0.685,0.197,53016525
Czechia,35.6,10.7,-24.9,-0.7,1069.6,514,-555.6,-0.52,526.5,202.7,-323.8,-0.61,155.3,63.6,-91.7,-0.59,25977,7421,3323,5106,2968,100,2460,210,403,2020,18,2010,13823,16432,7570,12595,11,442,1044,0,5,15,0,7212,2175,52,11501,88,0.35,0.264,10550130
