" ","Heavy smoker","Moderate smoker","Light smoker","Non-smoker"
"30","0","0","0","0"
"31","0.1","0.1","0","0"
"32","0.2","0.1","0.1","0.1"
"33","0.3","0.2","0.1","0.1"
"34","0.4","0.3","0.2","0.1"
"35","0.6","0.4","0.3","0.2"
"36","0.7","0.5","0.3","0.2"
"37","0.9","0.6","0.4","0.2"
"38","1","0.7","0.5","0.3"
"39","1.2","0.8","0.6","0.3"
"40","1.4","1","0.6","0.4"
"41","1.7","1.1","0.8","0.4"
"42","1.9","1.3","0.9","0.5"
"43","2.2","1.5","1","0.6"
"44","2.5","1.7","1.1","0.7"
"45","2.9","2","1.3","0.8"
"46","3.3","2.3","1.5","0.9"
"47","3.7","2.6","1.7","1"
"48","4.3","2.9","1.9","1.1"
"49","4.8","3.3","2.2","1.3"
"50","5.4","3.7","2.5","1.4"
"51","6","4.2","2.8","1.6"
"52","6.7","4.6","3.1","1.8"
"53","7.5","5.2","3.5","2"
"54","8.3","5.8","3.8","2.3"
"55","9.2","6.4","4.3","2.5"
"56","10.1","7","4.7","2.8"
"57","11.1","7.7","5.2","3"
"58","12.3","8.6","5.7","3.4"
"59","13.5","9.4","6.3","3.7"
"60","14.9","10.4","7","4.1"
"61","16.3","11.4","7.7","4.5"
"62","17.8","12.5","8.4","5"
"63","19.4","13.7","9.2","5.5"
"64","21.2","15","10.1","6"
"65","23","16.4","11.1","6.6"
"66","25","17.9","12.1","7.2"
"67","27.2","19.5","13.3","7.9"
"68","29.5","21.2","14.5","8.7"
"69","32.1","23.2","15.9","9.6"
"70","34.9","25.4","17.5","10.5"
"71","37.1","27.5","19.4","11.8"
"72","39.4","29.6","21.4","13"
"73","41.9","32.1","23.6","14.5"
"74","44.6","34.7","26","16.1"
"75","47.3","37.3","28.4","17.7"
"76","50.2","40.2","31.1","19.5"
"77","53.1","43.1","33.8","21.4"
"78","56.2","46.3","36.8","23.5"
"79","59.4","49.5","39.9","25.8"
"80","62.7","52.9","43.2","28.2"
"81","66.1","56.5","46.7","30.8"
"82","69.4","60.1","50.3","33.6"
"83","72.8","63.7","54","36.5"
"84","76.1","67.4","57.8","39.6"
"85","79.3","71","61.6","42.8"
"86","82.4","74.6","65.5","46.3"
"87","85.3","78.2","69.4","49.9"
"88","88","81.4","73.1","53.6"
"89","90.5","84.7","77","57.5"
"90","92.7","87.6","80.6","61.4"
