Country,1990,2021,Absolute Change,Relative Change,1990.1,2021.0.1,Absolute Change.1,Relative Change.1,1990.2,2021.0.2,Absolute Change.2,Relative Change.2,Smoking_1990,Smoking_2021,Change,Percent_Change,Metric1,Metric2,Population,Lung_Cancer_1990,Lung_Cancer_2021,COPD_1990,COPD_2021,Cardiovascular_Diseases_1990,Cardiovascular_Diseases_2021,Stroke_1990,Stroke_2021,Oral_Cancers_1990,Oral_Cancers_2021,Year,Gender,Current_Smokers_Percentage,Former_Smokers_Percentage,Current_Smokers_Millions,Former_Smokers_Millions,Region,Type,Total Change,Due to Ageing,Due to Prevalence Changes,Due to Population Growth
Singapore,9.9,3.6,-6.3,-0.64,692.3,187.4,-505.0,-0.73,224.4,48.6,-175.8,-0.78,84.4,19.9,-64.5,-0.76,0.28,0.05,5620150.0,13.407141530112328,20.95792982653948,13.971197334177512,20.089166404701302,-13.849698083930118,5.327147325365207,6.504303699201743,9.927155587803078,-3.602026635409397,0.5632554258904795,,,,,,,,,,,,
Ireland,14.5,4.7,-9.8,-0.68,1702.7,479.4,-1223.3,-0.72,416.1,91.1,-325.0,-0.78,177.1,44.0,-133.0,-0.75,0.225,0.19,4982604.0,16.327356988288155,1.946118839971296,7.384426184978614,-11.785675738191411,37.480068519224616,22.10500492814077,5.927632222944261,10.669285897867653,2.288303135118716,-0.3818462252492844,,,,,,,,,,,,
Malta,12.9,7.9,-5.0,-0.39,755.5,248.8,-506.6,-0.67,285.8,110.1,-175.7,-0.61,94.8,33.7,-61.1,-0.64,0.264,0.216,518213.0,15.956885381006924,-4.167361643574894,-3.5149719679251152,7.314692366905709,26.680851924976288,-4.928540407387909,13.6182331361359,5.170914239693758,-1.0377681854122875,-3.5212804932727515,,,,,,,,,,,,
Brunei,16.9,11.6,-5.3,-0.31,1373.8,484.8,-889.0,-0.65,347.7,123.4,-224.3,-0.65,154.2,58.5,-95.8,-0.62,0.3,0.023,447412.0,30.65029856408025,-3.0451442962552315,4.496141583470066,-3.581425691218269,2.3960976759185044,18.61822398476584,14.728853854217498,5.137011039518761,6.3301622237548765,8.718874474567153,,,,,,,,,,,,
Burundi,21.0,6.4,-14.6,-0.7,542.3,191.4,-350.9,-0.65,273.3,93.7,-179.6,-0.66,92.7,31.7,-61.0,-0.66,0.174,0.061,12617042.0,6.928466252766642,-4.988102849654384,8.764314542756244,-3.286253837646961,10.478124059196512,2.6151115577449104,15.440932200277324,1.593068721004776,4.386739810498646,10.504052085705109,,,,,,,,,,,,
Qatar,10.1,4.8,-5.3,-0.53,829.4,298.7,-530.8,-0.64,203.4,58.7,-144.7,-0.71,96.6,33.2,-63.4,-0.66,0.217,0.019,2803373.0,7.318630430508195,2.548982905858958,-0.807245528039747,-4.263939242388691,10.775591340042084,4.485362903475671,13.113718016819696,-5.215645888666762,2.9284602015341443,1.8800688629184736,,,,,,,,,,,,
Portugal,15.5,8.5,-7.0,-0.45,545.8,198.3,-347.5,-0.64,214.7,107.0,-107.7,-0.5,73.3,30.5,-42.8,-0.58,0.305,0.202,10370519.0,23.12212815507392,6.461519748166439,-4.557203955664314,-7.114907696798159,-3.080116947178213,11.323194921666037,15.62652715319335,-0.6717507686677404,6.568381697463498,15.690300810552618,,,,,,,,,,,,
Australia,10.2,4.6,-5.7,-0.55,661.0,240.2,-420.8,-0.64,240.6,66.6,-174.0,-0.72,80.0,26.0,-54.0,-0.68,0.156,0.115,25743787.0,15.674347291529088,5.36690799330019,6.436872114919123,1.78521627944827,4.221833124091247,-7.327220215622985,0.247647884394321,-15.109568141953854,14.306462747863414,-10.63689114133505,,,,,,,,,,,,
Mexico,7.2,4.9,-2.3,-0.32,635.8,243.0,-392.8,-0.62,134.0,56.9,-77.1,-0.58,71.4,26.6,-44.7,-0.63,0.199,0.062,126799052.0,2.44525614065048,10.931832490360238,6.019665711087228,-6.979501164110378,-0.3957584546582868,7.814097461840506,18.17194065634326,0.8786037320525014,11.637541354413235,-1.138594592797181,,,,,,,,,,,,
Sri Lanka,11.8,6.1,-5.7,-0.48,837.3,320.7,-516.5,-0.62,174.5,74.5,-100.0,-0.57,93.0,35.6,-57.4,-0.62,0.414,0.026,22561807.0,14.725600435859649,3.690018918779071,-0.4194317537112972,4.484568257798388,31.472704434236228,7.004522082130561,8.485996046923997,-7.393911071509173,-12.058979684499036,-6.1002232060280495,,,,,,,,,,,,
Ethiopia,10.8,2.2,-8.6,-0.8,264.7,104.5,-160.1,-0.61,142.2,35.4,-106.8,-0.75,44.5,13.8,-30.8,-0.69,0.088,0.013,118917671.0,-0.1841769281246223,15.915340771573169,-2.485383056183228,0.1876189055086304,16.03178393147461,6.99451264008149,23.86760872625265,-10.069893172157707,-24.20421134901955,-18.2513661707306,,,,,,,,,,,,
Madagascar,17.9,7.7,-10.2,-0.57,536.1,212.1,-324.1,-0.6,182.3,70.9,-111.4,-0.61,78.1,31.9,-46.2,-0.59,0.427,0.128,28953560.0,3.152702464297432,0.5434316676204394,6.225499373576363,-0.7944804686640976,24.430550949941583,7.67668643907818,-1.4248781808956783,4.031941511534784,11.686199112392735,0.1301931415730074,,,,,,,,,,,,
Israel,9.5,2.9,-6.5,-0.69,691.3,276.6,-414.7,-0.6,222.7,77.8,-144.8,-0.65,82.3,29.3,-53.0,-0.64,0.289,0.135,8800379.0,10.649622715660342,30.131691665896188,-10.36584341497324,-7.610636620415979,19.56172064043235,28.948001399108943,23.120638031652494,15.971022863445992,-11.199786984154212,-0.3384750838328354,,,,,,,,,,,,
Brazil,21.7,7.6,-14.1,-0.65,914.3,374.7,-539.6,-0.59,316.8,132.5,-184.2,-0.58,122.9,46.9,-76.0,-0.62,0.162,0.094,208660845.0,-6.842802446577979,10.946673477650062,-7.929637743765553,-3.422713305683327,7.144482287827707,0.65760015748684,10.58210783462648,12.46616606002313,1.4393459810731644,16.54149743242131,,,,,,,,,,,,
Belgium,18.1,6.3,-11.8,-0.65,1105.0,459.9,-645.1,-0.58,336.1,140.9,-195.1,-0.58,123.4,49.6,-73.8,-0.6,0.258,0.21,11540103.0,-4.909178325130325,-3.611575564162825,-1.0144422125243588,10.03391225825756,13.264797337202264,2.130030449981823,2.123819963855518,-12.233006036231773,-7.999130260593596,7.796116845547775,,,,,,,,,,,,
Ecuador,7.6,3.4,-4.1,-0.55,400.7,168.2,-232.5,-0.58,106.6,42.5,-64.1,-0.6,47.5,19.2,-28.4,-0.6,0.184,0.042,17546058.0,-0.8728752924097272,-8.788924980611123,0.2405284828815275,5.969171876243808,12.01874561227918,-3.351405264247644,-1.5138583405432158,-8.552281365703376,-16.594804375800198,-9.66586824329205,,,,,,,,,,,,
United Kingdom,17.3,5.8,-11.5,-0.66,1365.8,576.4,-789.4,-0.58,420.9,114.8,-306.1,-0.73,150.7,53.2,-97.4,-0.65,0.173,0.135,67351860.0,4.941688796655763,10.144724152431852,10.644075655980046,-7.115552447985511,10.383721911080542,2.4252288083974536,7.345526918056798,13.13171187988216,9.93562728204788,20.136925663341884,,,,,,,,,,,,
Iceland,11.8,6.2,-5.6,-0.48,967.9,413.5,-554.4,-0.57,265.5,96.2,-169.2,-0.64,102.6,40.4,-62.2,-0.61,0.119,0.12,366626.0,13.40247332595274,1.8053721467414912,19.88356216949552,3.013323054292259,22.51998430172388,-0.3138712730651773,11.423659464019163,-6.996873935383095,10.669551603026468,13.42233695525353,,,,,,,,,,,,
Norway,13.9,3.6,-10.3,-0.74,828.3,354.1,-474.2,-0.57,275.3,74.2,-201.1,-0.73,94.8,33.2,-61.7,-0.65,0.17,0.154,5379274.0,0.3997592447878908,10.46000494092092,13.316596232020194,9.17387123371789,11.816746018418648,16.870165311075517,11.864354880354997,0.0776685000297541,-2.921104007267194,6.816977034686158,,,,,,,,,,,,
Chile,13.4,6.8,-6.6,-0.49,320.9,137.8,-183.1,-0.57,181.3,66.9,-114.4,-0.63,56.0,21.8,-34.2,-0.61,0.316,0.268,19370619.0,-8.523037013352916,6.912376245735448,1.2006147003657293,-15.604052811213716,4.651791924504025,17.475042479898548,-1.8170000393857888,7.026520990245519,-24.230422921449097,-1.6108409884983192,,,,,,,,,,,,
Canada,13.7,5.0,-8.7,-0.64,988.9,436.3,-552.6,-0.56,316.2,106.1,-210.1,-0.66,113.6,42.7,-70.8,-0.62,0.153,0.107,38171901.0,26.016487689215538,3.5417108734312728,5.489837920973112,7.568601923799351,24.14959968203492,0.697537062505238,7.708454077390171,-6.694444548636351,-2.054444482524828,-8.313392367234798,,,,,,,,,,,,
Spain,17.1,7.1,-10.0,-0.58,817.1,367.9,-449.2,-0.55,259.0,120.5,-138.5,-0.53,96.9,41.3,-55.6,-0.57,0.286,0.267,47679482.0,7.432236995134644,-4.33793718068405,-5.180293646378088,-4.561237589458466,18.9776331148604,-2.128555731042288,28.20570358611864,3.944755061459599,6.8250400540254645,-2.4830677607105303,,,,,,,,,,,,
Benin,5.9,2.3,-3.6,-0.61,247.2,111.3,-135.8,-0.55,118.3,51.4,-66.9,-0.57,37.9,17.0,-20.9,-0.55,0.118,0.019,13070170.0,4.465282046879239,-13.448472246858646,1.7098686400761007,6.555986685931593,2.0753383418092004,7.26415556386404,19.92843170100712,-12.150254949182044,-13.652115687741286,11.39748619704186,,,,,,,,,,,,
Bahrain,11.8,7.8,-4.0,-0.34,1414.4,639.5,-774.9,-0.55,321.4,101.6,-219.8,-0.68,158.6,69.4,-89.3,-0.56,0.253,0.045,1483081.0,1.6125181378654323,2.47485047932979,5.043413610798616,-4.162591565425168,35.383298033642475,4.887769557190287,15.46523669674032,-1.1556764395121366,6.591599197791556,20.92786305934609,,,,,,,,,,,,
Colombia,7.9,3.1,-4.8,-0.61,381.2,172.6,-208.6,-0.55,151.5,48.7,-102.8,-0.68,53.2,19.4,-33.9,-0.64,0.124,0.046,50629997.0,-0.1238272452518263,10.503987943234725,5.887185603380895,-17.078821006645192,-2.8306332759989736,9.239318177555107,4.104034781682003,4.555819341425369,1.4429015082700445,16.01443528272189,,,,,,,,,,,,
France,14.3,6.8,-7.5,-0.53,647.5,296.8,-350.7,-0.54,231.9,126.4,-105.4,-0.45,79.0,38.1,-40.9,-0.52,0.349,0.319,65905273.0,9.00922589709866,5.95093744130204,-4.32230943552323,-14.370424378831624,18.00935606944264,7.744230208512997,6.730313267182614,-13.262937335316693,8.162914996010883,-3.745494217862741,,,,,,,,,,,,
